City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
53,Kaitangata,NZ,46.42,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
54,Richards Bay,ZA,59.56,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
56,Atuona,PF,79.66,broken clouds,-9.8,-139.0333,Villa Enata
57,Rikitea,PF,76.86,overcast clouds,-23.1203,-134.9692,Pension Maro'i
58,Castro,BR,66.45,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
60,Nantucket,US,86.11,clear sky,41.2835,-70.0995,Jared Coffin House
61,Lata,PT,61.36,clear sky,40.1629,-8.3327,Casa Maquia
62,Orasac,BA,60.06,overcast clouds,44.6289,16.0711,Guesthouse Huco & Rasema
63,North Battleford,CA,63.43,broken clouds,52.7834,-108.2847,Tropical Inn
64,Kargasok,RU,52.65,overcast clouds,59.0556,80.8572,Hotel Kargasok
65,Qaanaaq,GL,40.37,scattered clouds,77.484,-69.3632,Qaanaaq Hotel
66,Namibe,AO,73.92,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
67,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
68,Constitucion,CL,54.77,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
69,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
70,Belyy Yar,RU,48.09,clear sky,53.6039,91.3903,Pasportnyy Stol
71,Esperance,AU,59.56,overcast clouds,-33.8667,121.9,Hospitality Esperance
72,Naze,JP,69.48,light rain,28.3667,129.4833,奄美ポートタワーホテル
73,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
74,Coihaique,CL,48.81,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
75,Binzhou,CN,74.89,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
76,Butaritari,KI,82.22,light rain,3.0707,172.7902,Isles Sunset Lodge
77,Ugoofaaru,MV,82.31,overcast clouds,5.6667,73.0,Ungoofaaru Inn
78,Maku,IR,61.05,clear sky,39.2911,44.4521,Maku Tourist Hotel
80,Banposh,IN,86.38,few clouds,22.25,84.8,MAYFAIR Rourkela
82,Menongue,AO,54.63,scattered clouds,-14.6585,17.691,Ritz Lauca
85,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Punto de encuentro
86,Roma,US,89.89,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
88,Plouzane,FR,59.18,broken clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
89,Miandrivazo,MG,71.91,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
91,Khashuri,GE,50.67,overcast clouds,41.9941,43.5999,Gvirilas Sakhli Guest House
93,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
94,Chuncheng,CN,73.8,clear sky,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
95,Les Cayes,HT,84.25,broken clouds,18.2,-73.75,Villa Orphee
96,Upata,VE,86.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
97,Mandalgovi,MN,46.78,clear sky,45.7625,106.2708,В.Ганбат
99,Pacific Grove,US,76.57,clear sky,36.6177,-121.9166,Lovers Point Inn
100,Merrill,US,87.57,scattered clouds,45.1805,-89.6835,Prairie Motel
