City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Cabo San Lucas,MX,6/5/21 20:27,22.8909,-109.9124,102.81,33,1,9.22
147,Koyelga,RU,6/5/21 20:29,54.6522,60.9049,50.25,58,0,6.13
148,Kloulklubed,PW,6/5/21 20:29,7.0419,134.2556,77.5,80,100,4.79
149,Maryborough,AU,6/5/21 20:29,-25.5333,152.7,49.84,69,0,4.61
150,Opuwo,NA,6/5/21 20:27,-18.0607,13.84,60.69,29,0,8.59
151,Lompoc,US,6/5/21 20:26,34.6391,-120.4579,81.01,74,90,7
152,San Policarpo,PH,6/5/21 20:29,12.1791,125.5072,78.42,86,95,4.56
153,Richards Bay,ZA,6/5/21 20:29,-28.783,32.0377,61.77,81,85,3.51
154,Jumla,NP,6/5/21 20:27,29.2747,82.1838,55.69,84,76,2.19
155,Havre-Saint-Pierre,CA,6/5/21 20:27,50.2334,-63.5986,57.56,94,90,13.8
156,Maturin,VE,6/5/21 20:29,9.75,-63.1767,77.38,87,100,12.33
157,Forio,IT,6/5/21 20:29,40.7342,13.8646,71.89,74,89,2.57
158,Claveria,PH,6/5/21 20:29,18.6074,121.0832,80.83,81,100,2.26
159,Avarua,CK,6/5/21 20:29,-21.2078,-159.775,75.25,78,40,9.22
160,Arona,ES,6/5/21 20:29,28.0996,-16.681,63.12,62,20,5.99
161,Aswan,EG,6/5/21 20:27,24.0934,32.907,85.35,17,7,14.56
162,Gejiu,CN,6/5/21 20:29,23.306,103.1635,56.32,97,60,2.89
163,Castro,BR,6/5/21 20:26,-24.7911,-50.0119,66.2,75,3,3.85
164,Sibolga,ID,6/5/21 20:29,1.7427,98.7792,73.74,68,44,3.51
165,Lavrentiya,RU,6/5/21 20:29,65.5833,-171,34.39,77,91,13.96
166,Batemans Bay,AU,6/5/21 20:26,-35.7167,150.1833,49.91,67,6,4.88
167,Moindou,NC,6/5/21 20:29,-21.6924,165.677,66.15,71,100,13.4
168,Kaitangata,NZ,6/5/21 20:29,-46.2817,169.8464,42.93,83,94,3.11
169,Troitsko-Pechorsk,RU,6/5/21 20:29,62.7084,56.1964,61.9,54,21,6.67
170,Juneau,US,6/5/21 20:29,58.3019,-134.4197,53.22,91,90,2.37
171,Cherskiy,RU,6/5/21 20:29,68.75,161.3,64.04,36,92,21.83
172,Port Elizabeth,ZA,6/5/21 20:29,-33.918,25.5701,61.09,82,40,11.5
173,Tuktoyaktuk,CA,6/5/21 20:29,69.4541,-133.0374,39.2,65,75,17.27
174,Hindupur,IN,6/5/21 20:29,13.8289,77.4933,75.15,77,99,6.89
175,Tuy Hoa,VN,6/5/21 20:29,13.0833,109.3,78.84,85,100,6.62
176,Yerbogachen,RU,6/5/21 20:29,61.2767,108.0108,40.1,69,87,1.77
177,Namatanai,PG,6/5/21 20:29,-3.6667,152.4333,79.41,83,41,5.91
178,Chuy,UY,6/5/21 20:26,-33.6971,-53.4616,61.11,97,100,6.29
179,Qaanaaq,GL,6/5/21 20:26,77.484,-69.3632,38.52,85,100,4.94
180,Orlik,RU,6/5/21 20:29,52.5178,99.825,51.19,81,100,6.98
181,Faya,SA,6/5/21 20:27,18.3851,42.4509,70.32,55,28,1.1
182,Bud,US,6/5/21 20:29,39.447,-86.1758,86.04,52,28,9.37
183,Fairbanks,US,6/5/21 20:27,64.8378,-147.7164,70.61,42,1,0
184,Najran,SA,6/5/21 20:29,17.4924,44.1277,81.25,12,61,5.75
185,Boyolangu,ID,6/5/21 20:29,-8.1181,111.8935,74.98,93,54,1.61
186,Bam,IR,6/5/21 20:29,29.106,58.357,93.87,7,5,4.07
187,Ambulu,ID,6/5/21 20:29,-8.345,113.6058,74.55,91,22,2.28
188,Alice Springs,AU,6/5/21 20:29,-23.7,133.8833,35.15,80,0,4.76
189,Kyshtovka,RU,6/5/21 20:29,56.555,76.6271,52.79,86,42,10.31
190,Russell,US,6/5/21 20:29,32.3502,-85.1999,89.2,55,40,6.87
191,Srednekolymsk,RU,6/5/21 20:29,67.45,153.6833,61.57,39,2,21.32
192,Aykhal,RU,6/5/21 20:28,66,111.5,38.25,65,10,9.55
193,Hargeysa,SO,6/5/21 20:29,9.56,44.065,74.68,52,17,15.79
194,Beloha,MG,6/5/21 20:29,-25.1667,45.05,60.44,78,1,5.93
195,Taguisa,PH,6/5/21 20:29,6.6983,124.0358,76.78,89,100,5.17
196,Victoria,HK,6/5/21 20:26,22.2855,114.1577,81.32,80,60,5.01
197,Tianpeng,CN,6/5/21 20:29,30.9866,103.9393,64.87,60,100,2.26
198,Shunyi,CN,6/5/21 20:29,40.125,116.6453,73.83,55,0,8.95
199,Jalu,LY,6/5/21 20:29,29.0331,21.5482,80.78,16,0,5.75
200,Bosaso,SO,6/5/21 20:29,11.2842,49.1816,89.31,56,95,4.07
201,Lethem,GY,6/5/21 20:29,3.3803,-59.7968,84.25,73,30,7.92
202,Stykkisholmur,IS,6/5/21 20:29,65.0757,-22.7297,51.24,74,100,6.13
203,Port Augusta,AU,6/5/21 20:29,-32.5,137.7667,46.54,78,10,5.35
204,Manokwari,ID,6/5/21 20:29,-0.8667,134.0833,78.12,78,100,3.71
205,Ponta Do Sol,PT,6/5/21 20:26,32.6667,-17.1,68,72,29,4.59
206,Clyde,US,6/5/21 20:29,41.3042,-82.9752,87.51,42,12,14.97
207,Nyurba,RU,6/5/21 20:29,63.2842,118.3319,48.04,79,100,2.77
208,San Patricio,US,6/5/21 20:29,28.017,-97.5169,89.02,57,49,8.95
209,Zhanakorgan,KZ,6/5/21 20:29,43.9098,67.2495,80.26,38,2,8.32
210,Faanui,PF,6/5/21 20:27,-16.4833,-151.75,80.67,74,97,7.47
211,Talnakh,RU,6/5/21 20:29,69.4865,88.3972,27.84,98,95,2.66
212,Wellington,NZ,6/5/21 20:25,-41.2866,174.7756,58.77,76,75,1.01
213,Rio Verde De Mato Grosso,BR,6/5/21 20:29,-18.9181,-54.8442,88.57,27,94,5.12
214,Road Town,VG,6/5/21 20:26,18.4167,-64.6167,82.49,83,40,38.03
