City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
98,Zverinogolovskoye,RU,2021-06-06 20:11:44,54.4586,64.8542,58.77,43,29,3.58,scattered clouds
99,Pacific Grove,US,2021-06-06 20:11:46,36.6177,-121.9166,76.57,73,1,8.99,clear sky
100,Merrill,US,2021-06-06 20:11:47,45.1805,-89.6835,87.57,42,40,17.27,scattered clouds
101,Aranos,NA,2021-06-06 20:11:48,-24.1333,19.1167,51.37,44,0,14.18,clear sky
102,Thompson,CA,2021-06-06 20:11:50,55.7435,-97.8558,73.8,38,100,6.17,overcast clouds
103,Hilo,US,2021-06-06 20:11:51,19.7297,-155.09,82.27,69,90,9.22,light rain
104,Lorengau,PG,2021-06-06 20:11:52,-2.0226,147.2712,79.9,78,96,4.07,overcast clouds
105,Hithadhoo,MV,2021-06-06 20:11:54,-0.6,73.0833,83.03,74,8,13.85,clear sky
106,Atbasar,KZ,2021-06-06 20:11:55,51.8,68.3333,57.29,37,83,4.9,broken clouds
107,Faanui,PF,2021-06-06 20:11:56,-16.4833,-151.75,80.8,75,56,10.74,broken clouds
108,Xai-Xai,MZ,2021-06-06 20:11:58,-25.0519,33.6442,64.83,77,51,10.83,broken clouds
109,Souillac,MU,2021-06-06 20:11:59,-20.5167,57.5167,72.36,84,52,9.89,light rain
110,Alexandria,EG,2021-06-06 20:10:50,31.2156,29.9553,71.47,62,0,13.38,clear sky
111,Chapleau,CA,2021-06-06 20:12:01,47.8405,-83.4034,78.76,62,100,10.09,overcast clouds
112,Itoman,JP,2021-06-06 20:12:03,26.1247,127.6694,75.58,94,75,8.05,light rain
113,Clyde River,CA,2021-06-06 20:07:43,70.4692,-68.5914,34.75,100,100,1.68,overcast clouds
114,Bilma,NE,2021-06-06 20:12:05,18.6853,12.9164,94.73,15,100,5.03,overcast clouds
115,Nouadhibou,MR,2021-06-06 20:12:06,20.931,-17.0347,69.53,71,91,20.2,overcast clouds
116,Lebu,CL,2021-06-06 20:12:08,-37.6167,-73.65,51.75,70,100,2.71,overcast clouds
117,Ca Mau,VN,2021-06-06 20:12:09,9.1769,105.15,80.6,82,100,5.14,overcast clouds
118,Vila Velha,BR,2021-06-06 20:12:10,-20.3297,-40.2925,76.95,80,0,3.0,clear sky
119,Kupang,ID,2021-06-06 20:09:10,-10.1667,123.5833,74.48,79,93,9.89,overcast clouds
120,Baishishan,CN,2021-06-06 20:12:13,43.5833,127.5667,48.6,95,4,1.43,clear sky
121,Nioro,GM,2021-06-06 20:12:14,13.35,-15.75,88.34,43,0,11.56,clear sky
122,Rio Gallegos,AR,2021-06-06 20:12:16,-51.6226,-69.2181,41.05,70,40,16.11,scattered clouds
123,Nieuwpoort,BE,2021-06-06 20:12:17,51.1244,2.7735,63.21,70,0,4.61,clear sky
124,Osakarovka,KZ,2021-06-06 20:12:18,50.565,72.5692,54.45,50,92,7.92,overcast clouds
125,Ponta Do Sol,PT,2021-06-06 20:12:20,32.6667,-17.1,69.71,78,0,2.48,clear sky
126,Killybegs,IE,2021-06-06 20:12:21,54.6333,-8.45,52.45,78,100,4.97,overcast clouds
127,Victoria,HK,2021-06-06 20:10:11,22.2855,114.1577,82.45,85,39,5.01,scattered clouds
128,Inongo,CD,2021-06-06 20:12:23,-1.95,18.2667,69.89,97,100,11.18,light rain
129,Jamestown,US,2021-06-06 20:10:41,42.097,-79.2353,86.29,50,75,5.75,broken clouds
130,Pevek,RU,2021-06-06 20:12:26,69.7008,170.3133,47.1,70,41,13.58,scattered clouds
131,Key West,US,2021-06-06 20:10:35,24.5557,-81.7826,87.8,66,40,16.11,scattered clouds
132,San Lorenzo,PY,2021-06-06 20:12:28,-25.3333,-57.5333,68.94,78,75,6.82,broken clouds
133,Nuuk,GL,2021-06-06 20:12:30,64.1835,-51.7216,45.21,87,75,10.36,light snow
134,Codrington,AU,2021-06-06 20:12:31,-38.2667,141.9667,55.99,65,100,19.66,overcast clouds
135,Williston,US,2021-06-06 20:12:32,48.147,-103.618,74.77,28,1,10.0,clear sky
136,Alofi,NU,2021-06-06 20:12:34,-19.0595,-169.9187,75.09,78,40,4.61,scattered clouds
137,Oktyabrskoye,RU,2021-06-06 20:12:35,43.0645,44.7417,57.34,93,90,3.18,overcast clouds
